ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
9 OKB,https://www.coincarp.com/currencies/okb/,gate.io,"29,380.7 OKB","$1,404,659 ",+695.38 OKB,+692.35 OKB,"+2,569.78 OKB"
9 OKB,https://www.coincarp.com/currencies/okb/,Indodax,"6,791.2 OKB","$324,679 ",0 OKB,OKB,-5.045 OKB
9 OKB,https://www.coincarp.com/currencies/okb/,Hotbit,"4,929.71 OKB","$235,684 ",0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,Bitfinex,"4,637.72 OKB","$221,724 ",0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,AscendEX,"2,411.65 OKB","$115,298 ",0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,Poloniex,521.61 OKB,"$24,937.91 ",0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,MEXC Global,496.93 OKB,"$23,757.97 ",-0.8407 OKB,+5.538 OKB,-280.77 OKB
9 OKB,https://www.coincarp.com/currencies/okb/,ProBit Global,288.89 OKB,"$13,811.92 ",0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,Huobi Global,210.8 OKB,"$10,078.35 ",0 OKB,+6.399 OKB,+6.399 OKB
9 OKB,https://www.coincarp.com/currencies/okb/,HitBTC,0.2011 OKB,$9.62 ,0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,ZT,0.00000002 OKB,$0.00 ,0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,BitMart,0 OKB,$0 ,0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,CoinEx,0 OKB,$0 ,0 OKB,OKB,OKB
9 OKB,https://www.coincarp.com/currencies/okb/,FTX,0 OKB,$0 ,0 OKB,OKB,OKB
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Binance,"395,614,041 MATIC","$460,969,481 ","-10,567,288 MATIC","+70,373,388 MATIC","+104,426,856 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,KuCoin,"24,901,876 MATIC","$29,015,666 ","+410,917 MATIC","+1,524,474 MATIC","+122,368 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Crypto.com Exchange,"24,639,076 MATIC","$28,709,451 ","+57,026.91 MATIC","+61,562.74 MATIC","-73,958,514 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Bitfinex,"17,516,206 MATIC","$20,409,883 ","-375,722 MATIC","-1,601,349 MATIC","-3,044,012 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Binance.US,"8,823,071 MATIC","$10,280,642 ","-219,363 MATIC","-282,495 MATIC","-5,845,728 MATIC"
